resource_utilization_id,week,department_name,resource_type,resource_category,total_units_available,units_in_use,utilization_rate_pct
RES-00493,19,emergency,bed,bed,16,16,100.0
RES-00494,19,surgery,bed,bed,42,42,100.0
RES-00495,19,general_medicine,bed,bed,43,43,100.0
RES-00496,19,icu,bed,bed,14,14,100.0
RES-00497,20,emergency,bed,bed,21,21,100.0
RES-00498,20,surgery,bed,bed,31,31,100.0
RES-00499,20,general_medicine,bed,bed,40,40,100.0
RES-00500,20,icu,bed,bed,10,10,100.0
RES-00501,21,emergency,bed,bed,18,18,100.0
RES-00502,21,surgery,bed,bed,30,30,100.0
RES-00503,21,general_medicine,bed,bed,45,45,100.0
RES-00504,21,icu,bed,bed,12,9,75.0
RES-00505,22,emergency,bed,bed,16,16,100.0
RES-00506,22,surgery,bed,bed,18,18,100.0
RES-00507,22,general_medicine,bed,bed,46,36,78.3
RES-00508,22,icu,bed,bed,9,6,66.7
RES-00509,23,emergency,bed,bed,22,22,100.0
RES-00510,23,surgery,bed,bed,26,26,100.0
RES-00511,23,general_medicine,bed,bed,27,27,100.0
RES-00512,23,icu,bed,bed,17,12,70.6
RES-00513,24,emergency,bed,bed,18,18,100.0
RES-00514,24,surgery,bed,bed,39,21,53.8
RES-00515,24,general_medicine,bed,bed,47,47,100.0
RES-00516,24,icu,bed,bed,9,9,100.0
RES-00517,25,emergency,bed,bed,15,15,100.0
RES-00518,25,surgery,bed,bed,22,22,100.0
RES-00519,25,general_medicine,bed,bed,36,36,100.0
RES-00520,25,icu,bed,bed,8,6,75.0
RES-00521,26,emergency,bed,bed,18,18,100.0
RES-00522,26,surgery,bed,bed,31,30,96.8
RES-00523,26,general_medicine,bed,bed,43,43,100.0
RES-00524,26,icu,bed,bed,14,8,57.1
RES-00525,27,emergency,bed,bed,15,15,100.0
RES-00526,27,surgery,bed,bed,29,24,82.8
RES-00527,27,general_medicine,bed,bed,36,36,100.0
RES-00528,27,icu,bed,bed,15,10,66.7
RES-00529,28,emergency,bed,bed,15,15,100.0
RES-00530,28,surgery,bed,bed,31,28,90.3
RES-00531,28,general_medicine,bed,bed,26,26,100.0
RES-00532,28,icu,bed,bed,12,8,66.7
RES-00533,29,emergency,bed,bed,16,16,100.0
RES-00534,29,surgery,bed,bed,36,31,86.1
RES-00535,29,general_medicine,bed,bed,30,30,100.0
RES-00536,29,icu,bed,bed,14,14,100.0
RES-00537,30,emergency,bed,bed,16,16,100.0
RES-00538,30,surgery,bed,bed,32,15,46.9
RES-00539,30,general_medicine,bed,bed,38,38,100.0
RES-00540,30,icu,bed,bed,8,7,87.5
RES-00541,31,emergency,bed,bed,20,20,100.0
RES-00542,31,surgery,bed,bed,20,20,100.0
RES-00543,31,general_medicine,bed,bed,45,45,100.0
RES-00544,31,icu,bed,bed,8,8,100.0
RES-00545,32,emergency,bed,bed,20,20,100.0
RES-00546,32,surgery,bed,bed,31,25,80.6
RES-00547,32,general_medicine,bed,bed,34,34,100.0
RES-00548,32,icu,bed,bed,11,11,100.0
RES-00549,33,emergency,bed,bed,28,28,100.0
RES-00550,33,surgery,bed,bed,36,30,83.3
RES-00551,33,general_medicine,bed,bed,51,51,100.0
RES-00552,33,icu,bed,bed,11,11,100.0
RES-00553,34,emergency,bed,bed,21,21,100.0
RES-00554,34,surgery,bed,bed,22,22,100.0
RES-00555,34,general_medicine,bed,bed,48,48,100.0
RES-00556,34,icu,bed,bed,10,7,70.0
RES-00557,35,emergency,bed,bed,15,15,100.0
RES-00558,35,surgery,bed,bed,26,26,100.0
RES-00559,35,general_medicine,bed,bed,41,40,97.6
RES-00560,35,icu,bed,bed,18,5,27.8
RES-00561,36,emergency,bed,bed,28,28,100.0
RES-00562,36,surgery,bed,bed,47,47,100.0
RES-00563,36,general_medicine,bed,bed,59,54,91.5
RES-00564,36,icu,bed,bed,15,5,33.3
RES-00565,37,emergency,bed,bed,23,23,100.0
RES-00566,37,surgery,bed,bed,31,31,100.0
RES-00567,37,general_medicine,bed,bed,58,48,82.8
RES-00568,37,icu,bed,bed,13,13,100.0
RES-00569,38,emergency,bed,bed,22,22,100.0
RES-00570,38,surgery,bed,bed,47,47,100.0
RES-00571,38,general_medicine,bed,bed,63,63,100.0
RES-00572,38,icu,bed,bed,20,18,90.0
RES-00573,39,emergency,bed,bed,20,20,100.0
RES-00574,39,surgery,bed,bed,36,36,100.0
RES-00575,39,general_medicine,bed,bed,48,48,100.0
RES-00576,39,icu,bed,bed,11,11,100.0
RES-00577,40,emergency,bed,bed,18,18,100.0
RES-00578,40,surgery,bed,bed,46,36,78.3
RES-00579,40,general_medicine,bed,bed,47,47,100.0
RES-00580,40,icu,bed,bed,12,12,100.0
RES-00581,41,emergency,bed,bed,27,27,100.0
RES-00582,41,surgery,bed,bed,31,31,100.0
RES-00583,41,general_medicine,bed,bed,50,50,100.0
RES-00584,41,icu,bed,bed,21,20,95.2
RES-00585,42,emergency,bed,bed,24,24,100.0
RES-00586,42,surgery,bed,bed,45,45,100.0
RES-00587,42,general_medicine,bed,bed,67,67,100.0
RES-00588,42,icu,bed,bed,16,12,75.0
RES-00589,43,emergency,bed,bed,21,21,100.0
RES-00590,43,surgery,bed,bed,50,33,66.0
RES-00591,43,general_medicine,bed,bed,42,42,100.0
RES-00592,43,icu,bed,bed,18,12,66.7
RES-00593,44,emergency,bed,bed,27,27,100.0
RES-00594,44,surgery,bed,bed,45,28,62.2
RES-00595,44,general_medicine,bed,bed,57,57,100.0
RES-00596,44,icu,bed,bed,12,12,100.0
RES-00597,45,emergency,bed,bed,32,32,100.0
RES-00598,45,surgery,bed,bed,32,32,100.0
RES-00599,45,general_medicine,bed,bed,40,40,100.0
RES-00600,45,icu,bed,bed,18,18,100.0
RES-00601,46,emergency,bed,bed,36,36,100.0
RES-00602,46,surgery,bed,bed,52,39,75.0
RES-00603,46,general_medicine,bed,bed,41,29,70.7
RES-00604,46,icu,bed,bed,23,23,100.0
RES-00605,47,emergency,bed,bed,22,22,100.0
RES-00606,47,surgery,bed,bed,57,48,84.2
RES-00607,47,general_medicine,bed,bed,55,55,100.0
RES-00608,47,icu,bed,bed,13,13,100.0
RES-00609,48,emergency,bed,bed,20,20,100.0
RES-00610,48,surgery,bed,bed,49,32,65.3
RES-00611,48,general_medicine,bed,bed,48,48,100.0
RES-00612,48,icu,bed,bed,16,16,100.0
RES-00613,49,emergency,bed,bed,26,26,100.0
RES-00614,49,surgery,bed,bed,26,26,100.0
RES-00615,49,general_medicine,bed,bed,72,63,87.5
RES-00616,49,icu,bed,bed,16,16,100.0
RES-00617,50,emergency,bed,bed,24,24,100.0
RES-00618,50,surgery,bed,bed,59,59,100.0
RES-00619,50,general_medicine,bed,bed,72,57,79.2
RES-00620,50,icu,bed,bed,22,13,59.1
RES-00621,51,emergency,bed,bed,31,31,100.0
RES-00622,51,surgery,bed,bed,63,48,76.2
RES-00623,51,general_medicine,bed,bed,74,74,100.0
RES-00624,51,icu,bed,bed,18,15,83.3
RES-00625,52,emergency,bed,bed,26,26,100.0
RES-00626,52,surgery,bed,bed,53,39,73.6
RES-00627,52,general_medicine,bed,bed,65,65,100.0
RES-00628,52,icu,bed,bed,22,22,100.0
