resource_utilization_id,date,hospital_id,hospital_name,department_id,department_name,resource_type,resource_category,total_units_available,units_in_use,units_under_maintenance,utilization_rate_pct,shortage_flag,capacity_hours,utilized_hours,idle_hours,downtime_hours,nurses_on_duty_snapshot,doctors_on_duty_snapshot,overtime_hours,avg_response_time_minutes,resource_condition,maintenance_due_flag,last_maintenance_date
R0139,2026-05-31,H001,CityCare General Hospital,D05,icu,Bed,Private Bed,35,30,1,85.71,0,24,20.57,3.43,4.13,6,3,1.5,4.27,Good,0,2026-02-14
R0140,2026-06-05,H002,Green Valley Medical Center,D03,cardiology,Equipment,X-Ray Unit,19,9,1,47.37,0,24,11.37,12.63,0.99,9,2,1.69,19.96,Good,0,2026-04-13
R0141,2026-06-10,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Nursing Staff,30,14,2,46.67,0,12,5.6,6.4,0.58,10,3,0.66,11.83,Good,0,2026-05-22
R0142,2026-06-15,H001,CityCare General Hospital,D06,pediatrics,Bed,Semi-Private Bed,47,17,3,36.17,0,24,8.68,15.32,2.39,6,2,2.58,18.73,Good,0,2026-05-07
R0143,2026-06-20,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Infusion Pump,14,9,1,64.29,0,24,15.43,8.57,0.36,5,5,4.05,11.22,Fair,0,2026-06-07
R0144,2026-06-25,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Doctors,30,23,1,76.67,0,12,9.2,2.8,1.07,13,5,1.14,17.06,Good,0,2026-05-26
R0145,2026-01-01,H001,CityCare General Hospital,D07,general surgery,Bed,General Bed,34,18,3,52.94,0,24,12.71,11.29,3.91,12,2,0.6,6.54,Good,0,2025-11-09
R0146,2026-01-06,H002,Green Valley Medical Center,D05,icu,Equipment,Patient Monitor,14,14,0,100.0,1,24,24.0,0.0,4.56,14,4,4.12,11.29,Good,0,2025-11-11
R0147,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Nursing Staff,30,23,3,76.67,0,12,9.2,2.8,1.5,6,1,4.64,15.81,Fair,0,2025-11-04
R0148,2026-01-16,H001,CityCare General Hospital,D01,emergency department,Bed,ICU Bed,32,18,1,56.25,0,24,13.5,10.5,0.05,14,3,2.8,11.43,Good,0,2025-12-16
R0149,2026-01-21,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Ventilator,29,18,2,62.07,0,24,14.9,9.1,1.44,8,2,1.67,21.18,Fair,0,2025-11-29
R0150,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Doctors,14,10,1,71.43,0,12,8.57,3.43,1.14,10,4,3.63,23.31,Good,0,2025-12-22
R0151,2026-01-31,H001,CityCare General Hospital,D02,general medicine,Bed,Private Bed,35,21,0,60.0,0,24,14.4,9.6,2.51,11,4,1.11,8.39,Good,1,2025-10-25
R0152,2026-02-05,H002,Green Valley Medical Center,D07,general surgery,Equipment,X-Ray Unit,14,12,1,85.71,0,24,20.57,3.43,0.27,5,2,4.44,14.63,Fair,0,2025-11-14
R0153,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Nursing Staff,6,5,0,83.33,0,12,10.0,2.0,0.58,13,5,0.14,10.27,Fair,0,2025-10-14
R0154,2026-02-15,H001,CityCare General Hospital,D03,cardiology,Bed,Semi-Private Bed,36,14,3,38.89,0,24,9.33,14.67,1.33,9,2,0.59,23.96,Good,0,2025-11-25
R0155,2026-02-20,H002,Green Valley Medical Center,D01,emergency department,Equipment,Infusion Pump,27,14,2,51.85,0,24,12.44,11.56,1.26,6,4,0.76,23.69,Good,0,2025-11-30
R0156,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Doctors,23,13,3,56.52,0,12,6.78,5.22,0.2,14,5,4.21,7.39,Fair,0,2025-11-03
R0157,2026-03-02,H001,CityCare General Hospital,D04,orthopedics,Bed,General Bed,38,28,1,73.68,0,24,17.68,6.32,1.43,8,5,1.01,20.78,Good,0,2025-11-26
R0158,2026-03-07,H002,Green Valley Medical Center,D02,general medicine,Equipment,Patient Monitor,23,20,2,86.96,0,24,20.87,3.13,1.71,6,5,4.65,3.21,Good,0,2026-01-22
R0159,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Nursing Staff,25,14,1,56.0,0,12,6.72,5.28,0.71,5,4,2.28,7.58,Good,0,2026-02-22
R0160,2026-03-17,H001,CityCare General Hospital,D05,icu,Bed,ICU Bed,39,15,4,38.46,0,24,9.23,14.77,3.01,14,4,3.17,23.93,Good,0,2025-12-21
R0161,2026-03-22,H002,Green Valley Medical Center,D03,cardiology,Equipment,Ventilator,23,17,0,73.91,0,24,17.74,6.26,1.73,7,1,0.26,19.57,Good,0,2025-11-22
R0162,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Doctors,11,6,2,54.55,0,12,6.55,5.45,0.36,5,4,3.87,4.79,Fair,0,2025-12-16
R0163,2026-04-01,H001,CityCare General Hospital,D06,pediatrics,Bed,Private Bed,40,24,5,60.0,0,24,14.4,9.6,0.56,8,3,2.32,23.93,Good,0,2026-02-09
R0164,2026-04-06,H002,Green Valley Medical Center,D04,orthopedics,Equipment,X-Ray Unit,20,12,1,60.0,0,24,14.4,9.6,0.02,11,5,1.1,23.9,Good,1,2025-12-12
R0165,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Nursing Staff,9,6,0,66.67,0,12,8.0,4.0,1.08,11,4,3.63,4.79,Good,0,2025-12-26
R0166,2026-04-16,H001,CityCare General Hospital,D07,general surgery,Bed,Semi-Private Bed,43,35,1,81.4,0,24,19.54,4.46,4.63,13,4,0.92,6.47,Good,0,2026-01-28
R0167,2026-04-21,H002,Green Valley Medical Center,D05,icu,Equipment,Infusion Pump,23,14,0,60.87,0,24,14.61,9.39,4.41,13,3,2.34,18.92,Fair,0,2026-01-26
R0168,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Doctors,24,14,1,58.33,0,12,7.0,5.0,1.35,13,1,1.78,15.57,Fair,0,2026-01-12
R0169,2026-05-01,H001,CityCare General Hospital,D01,emergency department,Bed,General Bed,15,3,3,20.0,0,24,4.8,19.2,1.15,11,3,2.72,21.52,Fair,0,2026-03-27
R0170,2026-05-06,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Patient Monitor,25,11,1,44.0,0,24,10.56,13.44,1.68,6,3,3.19,11.38,Good,0,2026-02-23
R0171,2026-05-11,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Nursing Staff,10,4,0,40.0,0,12,4.8,7.2,1.51,9,2,2.45,23.81,Needs Maintenance,1,2026-01-17
R0172,2026-05-16,H001,CityCare General Hospital,D02,general medicine,Bed,ICU Bed,29,18,1,62.07,0,24,14.9,9.1,0.94,6,1,2.49,20.5,Good,0,2026-01-18
R0173,2026-05-21,H002,Green Valley Medical Center,D07,general surgery,Equipment,Ventilator,7,3,2,42.86,0,24,10.29,13.71,3.12,14,5,3.99,20.17,Good,1,2026-04-29
R0174,2026-05-26,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Doctors,26,22,2,84.62,0,12,10.15,1.85,0.8,6,2,2.85,22.34,Good,0,2026-03-05
R0175,2026-05-31,H001,CityCare General Hospital,D03,cardiology,Bed,Private Bed,44,36,2,81.82,0,24,19.64,4.36,2.73,10,1,1.9,6.45,Good,0,2026-05-05
R0176,2026-06-05,H002,Green Valley Medical Center,D01,emergency department,Equipment,X-Ray Unit,5,4,0,80.0,0,24,19.2,4.8,3.12,13,2,1.06,9.29,Fair,0,2026-05-21
R0177,2026-06-10,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Nursing Staff,26,14,2,53.85,0,12,6.46,5.54,1.11,13,5,1.4,3.13,Good,0,2026-04-01
R0178,2026-06-15,H001,CityCare General Hospital,D04,orthopedics,Bed,Semi-Private Bed,21,17,0,80.95,0,24,19.43,4.57,4.89,9,5,1.97,23.81,Good,0,2026-03-24
R0179,2026-06-20,H002,Green Valley Medical Center,D02,general medicine,Equipment,Infusion Pump,14,8,0,57.14,0,24,13.71,10.29,0.1,14,3,0.8,16.55,Fair,0,2026-04-12
R0180,2026-06-25,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Doctors,13,10,2,76.92,0,12,9.23,2.77,0.72,11,3,0.88,23.6,Fair,0,2026-04-04
R0181,2026-01-01,H001,CityCare General Hospital,D05,icu,Bed,General Bed,44,30,1,68.18,0,24,16.36,7.64,0.46,6,1,3.56,3.67,Good,0,2025-11-13
R0182,2026-01-06,H002,Green Valley Medical Center,D03,cardiology,Equipment,Patient Monitor,23,13,1,56.52,0,24,13.56,10.44,4.5,13,1,4.71,12.51,Good,0,2025-11-23
R0183,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Nursing Staff,15,10,1,66.67,0,12,8.0,4.0,0.35,5,3,1.72,17.66,Needs Maintenance,1,2025-10-18
R0184,2026-01-16,H001,CityCare General Hospital,D06,pediatrics,Bed,ICU Bed,23,18,2,78.26,0,24,18.78,5.22,0.5,13,5,1.64,7.85,Good,0,2025-12-23
R0185,2026-01-21,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Ventilator,11,7,1,63.64,0,24,15.27,8.73,4.93,14,2,3.22,21.82,Good,0,2025-10-17
R0186,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Doctors,24,16,2,66.67,0,12,8.0,4.0,1.6,10,4,3.47,7.09,Good,0,2025-12-26
R0187,2026-01-31,H001,CityCare General Hospital,D07,general surgery,Bed,Private Bed,37,24,1,64.86,0,24,15.57,8.43,1.78,5,3,4.98,8.63,Fair,0,2025-11-27
R0188,2026-02-05,H002,Green Valley Medical Center,D05,icu,Equipment,X-Ray Unit,30,17,0,56.67,0,24,13.6,10.4,1.71,14,2,3.99,18.14,Needs Maintenance,1,2026-01-21
R0189,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Nursing Staff,26,16,2,61.54,0,12,7.38,4.62,1.04,14,3,3.27,3.73,Good,0,2025-11-18
R0190,2026-02-15,H001,CityCare General Hospital,D01,emergency department,Bed,Semi-Private Bed,34,18,2,52.94,0,24,12.71,11.29,4.64,10,5,1.26,24.77,Good,0,2026-01-31
R0191,2026-02-20,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Infusion Pump,28,9,0,32.14,0,24,7.71,16.29,1.74,12,3,2.01,3.56,Good,0,2026-01-25
R0192,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Doctors,10,7,0,70.0,0,12,8.4,3.6,0.61,7,2,2.36,10.41,Good,0,2026-01-01
R0193,2026-03-02,H001,CityCare General Hospital,D02,general medicine,Bed,General Bed,29,22,1,75.86,0,24,18.21,5.79,0.03,14,4,3.78,18.01,Good,0,2026-02-15
R0194,2026-03-07,H002,Green Valley Medical Center,D07,general surgery,Equipment,Patient Monitor,15,13,2,86.67,0,24,20.8,3.2,3.94,8,4,2.43,16.82,Good,0,2026-01-27
R0195,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Nursing Staff,23,16,2,69.57,0,12,8.35,3.65,1.22,13,5,0.97,17.85,Good,0,2026-01-10
R0196,2026-03-17,H001,CityCare General Hospital,D03,cardiology,Bed,ICU Bed,40,29,3,72.5,0,24,17.4,6.6,2.2,6,2,3.46,7.71,Needs Maintenance,1,2026-01-11
R0197,2026-03-22,H002,Green Valley Medical Center,D01,emergency department,Equipment,Ventilator,13,7,1,53.85,0,24,12.92,11.08,2.26,10,5,4.4,12.42,Good,0,2026-02-16
R0198,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Doctors,21,16,1,76.19,0,12,9.14,2.86,1.3,8,5,4.81,9.03,Good,0,2026-01-14
R0199,2026-04-01,H001,CityCare General Hospital,D04,orthopedics,Bed,Private Bed,41,34,2,82.93,0,24,19.9,4.1,4.6,10,2,3.51,7.43,Good,0,2025-12-27
R0200,2026-04-06,H002,Green Valley Medical Center,D02,general medicine,Equipment,X-Ray Unit,11,8,0,72.73,0,24,17.46,6.54,1.75,12,1,4.47,5.68,Good,0,2025-12-16
R0201,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Nursing Staff,15,4,2,26.67,0,12,3.2,8.8,1.28,3,5,2.5,14.43,Good,0,2026-03-15
R0202,2026-04-16,H001,CityCare General Hospital,D05,icu,Bed,Semi-Private Bed,33,23,1,69.7,0,24,16.73,7.27,4.37,3,2,2.76,8.55,Good,0,2026-03-28
R0203,2026-04-21,H002,Green Valley Medical Center,D03,cardiology,Equipment,Infusion Pump,20,17,0,85.0,0,24,20.4,3.6,1.62,9,3,3.07,20.16,Good,0,2026-01-16
R0204,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Doctors,23,16,1,69.57,0,12,8.35,3.65,0.89,11,4,4.86,17.12,Good,0,2026-01-22
R0205,2026-05-01,H001,CityCare General Hospital,D06,pediatrics,Bed,General Bed,32,27,1,84.38,0,24,20.25,3.75,4.7,4,4,4.9,9.81,Fair,0,2026-02-25
R0206,2026-05-06,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Patient Monitor,5,4,0,80.0,0,24,19.2,4.8,2.04,11,3,0.26,17.61,Good,1,2026-03-13
R0207,2026-05-11,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Nursing Staff,25,9,1,36.0,0,12,4.32,7.68,1.22,13,1,3.64,20.02,Fair,0,2026-03-30
R0208,2026-05-16,H001,CityCare General Hospital,D07,general surgery,Bed,ICU Bed,50,28,4,56.0,0,24,13.44,10.56,2.39,7,5,2.99,9.14,Fair,0,2026-01-16
R0209,2026-05-21,H002,Green Valley Medical Center,D05,icu,Equipment,Ventilator,9,7,0,77.78,0,24,18.67,5.33,0.96,6,1,3.95,18.49,Good,0,2026-04-11
R0210,2026-05-26,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Doctors,16,9,3,56.25,0,12,6.75,5.25,0.62,6,1,2.56,9.75,Fair,0,2026-04-23
R0211,2026-05-31,H001,CityCare General Hospital,D01,emergency department,Bed,Private Bed,16,15,0,93.75,1,24,22.5,1.5,2.25,6,4,2.41,12.97,Fair,1,2026-02-28
R0212,2026-06-05,H002,Green Valley Medical Center,D06,pediatrics,Equipment,X-Ray Unit,17,10,1,58.82,0,24,14.12,9.88,2.59,14,5,3.11,12.85,Good,0,2026-03-02
R0213,2026-06-10,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Nursing Staff,25,17,1,68.0,0,12,8.16,3.84,1.59,13,5,3.43,13.72,Fair,0,2026-05-04
R0214,2026-06-15,H001,CityCare General Hospital,D02,general medicine,Bed,Semi-Private Bed,46,20,4,43.48,0,24,10.44,13.56,0.76,4,2,2.12,17.42,Good,1,2026-02-15
R0215,2026-06-20,H002,Green Valley Medical Center,D07,general surgery,Equipment,Infusion Pump,14,5,2,35.71,0,24,8.57,15.43,2.52,8,3,0.97,18.28,Good,0,2026-04-05
R0216,2026-06-25,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Doctors,17,9,1,52.94,0,12,6.35,5.65,1.07,8,2,3.06,6.29,Good,0,2026-05-17
R0217,2026-01-01,H001,CityCare General Hospital,D03,cardiology,Bed,General Bed,39,23,1,58.97,0,24,14.15,9.85,1.87,4,3,1.03,12.16,Good,0,2025-10-21
R0218,2026-01-06,H002,Green Valley Medical Center,D01,emergency department,Equipment,Patient Monitor,8,7,0,87.5,0,24,21.0,3.0,0.55,7,5,0.19,6.99,Good,0,2025-11-14
R0219,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Nursing Staff,28,22,1,78.57,0,12,9.43,2.57,0.7,10,4,0.04,9.72,Good,0,2025-10-06
R0220,2026-01-16,H001,CityCare General Hospital,D04,orthopedics,Bed,ICU Bed,10,8,1,80.0,0,24,19.2,4.8,0.56,7,3,1.25,3.04,Good,1,2025-10-03
R0221,2026-01-21,H002,Green Valley Medical Center,D02,general medicine,Equipment,Ventilator,26,11,1,42.31,0,24,10.15,13.85,1.16,10,5,1.85,7.19,Fair,0,2025-12-12
R0222,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Doctors,16,13,1,81.25,0,12,9.75,2.25,0.18,4,1,1.74,7.5,Fair,0,2025-12-12
R0223,2026-01-31,H001,CityCare General Hospital,D05,icu,Bed,Private Bed,36,17,3,47.22,0,24,11.33,12.67,2.49,6,1,1.86,18.71,Good,0,2025-11-30
R0224,2026-02-05,H002,Green Valley Medical Center,D03,cardiology,Equipment,X-Ray Unit,20,12,0,60.0,0,24,14.4,9.6,4.79,14,1,2.49,11.06,Good,0,2025-11-17
R0225,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Nursing Staff,26,16,2,61.54,0,12,7.38,4.62,1.62,6,5,2.49,14.59,Good,0,2025-10-19
R0226,2026-02-15,H001,CityCare General Hospital,D06,pediatrics,Bed,Semi-Private Bed,39,30,1,76.92,0,24,18.46,5.54,3.4,5,1,3.73,3.3,Good,0,2026-01-08
R0227,2026-02-20,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Infusion Pump,7,3,0,42.86,0,24,10.29,13.71,4.32,6,3,3.48,3.26,Good,0,2026-01-15
R0228,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Doctors,23,14,2,60.87,0,12,7.3,4.7,0.94,6,3,4.64,6.11,Good,1,2026-01-09
R0229,2026-03-02,H001,CityCare General Hospital,D07,general surgery,Bed,General Bed,26,21,1,80.77,0,24,19.38,4.62,4.22,7,4,4.84,20.58,Needs Maintenance,1,2025-11-15
R0230,2026-03-07,H002,Green Valley Medical Center,D05,icu,Equipment,Patient Monitor,22,17,3,77.27,0,24,18.54,5.46,1.15,14,1,0.42,11.99,Fair,0,2026-01-18
R0231,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Nursing Staff,20,14,1,70.0,0,12,8.4,3.6,1.83,7,5,0.33,11.68,Fair,0,2026-01-09
R0232,2026-03-17,H001,CityCare General Hospital,D01,emergency department,Bed,ICU Bed,36,25,7,69.44,0,24,16.67,7.33,2.81,13,1,4.03,3.81,Good,0,2026-03-04
R0233,2026-03-22,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Ventilator,6,4,1,66.67,0,24,16.0,8.0,3.69,10,4,0.41,19.07,Good,0,2026-02-05
R0234,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Doctors,30,27,1,90.0,1,12,10.8,1.2,1.06,14,4,0.16,22.59,Good,1,2025-12-29
R0235,2026-04-01,H001,CityCare General Hospital,D02,general medicine,Bed,Private Bed,46,24,2,52.17,0,24,12.52,11.48,0.06,7,4,0.66,21.11,Fair,0,2026-02-27
R0236,2026-04-06,H002,Green Valley Medical Center,D07,general surgery,Equipment,X-Ray Unit,28,16,2,57.14,0,24,13.71,10.29,3.13,6,5,4.46,16.05,Good,0,2026-02-04
R0237,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Nursing Staff,26,23,1,88.46,0,12,10.62,1.38,0.2,8,2,0.37,21.4,Good,0,2026-03-07
R0238,2026-04-16,H001,CityCare General Hospital,D03,cardiology,Bed,Semi-Private Bed,21,14,0,66.67,0,24,16.0,8.0,2.41,14,5,3.1,14.86,Good,0,2026-03-10
R0239,2026-04-21,H002,Green Valley Medical Center,D01,emergency department,Equipment,Infusion Pump,27,18,5,66.67,0,24,16.0,8.0,4.44,5,3,0.67,12.36,Good,0,2026-03-01
R0240,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Doctors,17,10,0,58.82,0,12,7.06,4.94,0.78,13,3,1.22,4.06,Good,1,2026-04-04
R0241,2026-05-01,H001,CityCare General Hospital,D04,orthopedics,Bed,General Bed,22,22,0,100.0,1,24,24.0,0.0,3.71,6,3,4.62,23.11,Good,0,2026-01-31
R0242,2026-05-06,H002,Green Valley Medical Center,D02,general medicine,Equipment,Patient Monitor,19,18,0,94.74,1,24,22.74,1.26,4.42,9,4,1.2,16.07,Good,0,2026-03-06
R0243,2026-05-11,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Nursing Staff,17,10,3,58.82,0,12,7.06,4.94,1.22,8,3,1.78,12.22,Fair,1,2026-03-27
R0244,2026-05-16,H001,CityCare General Hospital,D05,icu,Bed,ICU Bed,43,28,5,65.12,0,24,15.63,8.37,3.79,8,3,2.4,4.78,Fair,0,2026-03-10
R0245,2026-05-21,H002,Green Valley Medical Center,D03,cardiology,Equipment,Ventilator,12,11,1,91.67,1,24,22.0,2.0,0.17,12,1,1.12,12.53,Needs Maintenance,1,2026-02-15
R0246,2026-05-26,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Doctors,20,13,2,65.0,0,12,7.8,4.2,1.83,12,3,3.41,16.62,Good,0,2026-03-16
R0247,2026-05-31,H001,CityCare General Hospital,D06,pediatrics,Bed,Private Bed,27,17,1,62.96,0,24,15.11,8.89,4.34,11,3,2.64,4.98,Good,0,2026-02-19
R0248,2026-06-05,H002,Green Valley Medical Center,D04,orthopedics,Equipment,X-Ray Unit,12,8,0,66.67,0,24,16.0,8.0,1.53,14,2,1.25,18.01,Good,0,2026-02-20
R0249,2026-06-10,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Nursing Staff,10,10,0,100.0,1,12,12.0,0.0,0.86,7,1,4.02,20.77,Fair,0,2026-02-20
R0250,2026-06-15,H001,CityCare General Hospital,D07,general surgery,Bed,Semi-Private Bed,10,6,2,60.0,0,24,14.4,9.6,0.05,9,3,4.29,20.47,Needs Maintenance,1,2026-04-09
R0251,2026-06-20,H002,Green Valley Medical Center,D05,icu,Equipment,Infusion Pump,24,11,3,45.83,0,24,11.0,13.0,0.5,3,3,4.89,11.35,Fair,1,2026-03-20
R0252,2026-06-25,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Doctors,20,15,3,75.0,0,12,9.0,3.0,0.06,4,3,0.5,24.05,Fair,0,2026-02-25
R0253,2026-01-01,H001,CityCare General Hospital,D01,emergency department,Bed,General Bed,33,16,3,48.48,0,24,11.64,12.36,2.41,13,5,0.61,12.09,Good,1,2025-09-07
R0254,2026-01-06,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Patient Monitor,27,21,1,77.78,0,24,18.67,5.33,2.84,8,4,1.4,16.31,Fair,0,2025-11-10
R0255,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Nursing Staff,11,11,0,100.0,1,12,12.0,0.0,0.12,9,4,0.81,17.17,Fair,0,2025-09-21
R0256,2026-01-16,H001,CityCare General Hospital,D02,general medicine,Bed,ICU Bed,36,19,1,52.78,0,24,12.67,11.33,4.59,9,4,4.6,19.94,Good,1,2026-01-04
R0257,2026-01-21,H002,Green Valley Medical Center,D07,general surgery,Equipment,Ventilator,12,10,0,83.33,0,24,20.0,4.0,0.84,9,4,3.57,4.25,Good,0,2025-10-23
R0258,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Doctors,22,19,2,86.36,0,12,10.36,1.64,0.54,7,4,1.98,13.92,Good,0,2026-01-06
R0259,2026-01-31,H001,CityCare General Hospital,D03,cardiology,Bed,Private Bed,24,13,1,54.17,0,24,13.0,11.0,3.87,9,4,2.72,10.87,Good,0,2025-10-31
R0260,2026-02-05,H002,Green Valley Medical Center,D01,emergency department,Equipment,X-Ray Unit,12,11,0,91.67,1,24,22.0,2.0,2.18,11,1,0.43,7.09,Good,0,2025-12-20
R0261,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Nursing Staff,18,14,2,77.78,0,12,9.33,2.67,1.13,9,3,4.58,13.52,Fair,0,2025-11-02
R0262,2026-02-15,H001,CityCare General Hospital,D04,orthopedics,Bed,Semi-Private Bed,38,29,3,76.32,0,24,18.32,5.68,3.52,13,1,3.61,11.35,Good,0,2026-01-01
R0263,2026-02-20,H002,Green Valley Medical Center,D02,general medicine,Equipment,Infusion Pump,18,14,1,77.78,0,24,18.67,5.33,0.28,9,3,3.75,12.84,Good,0,2026-01-10
R0264,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Doctors,5,2,1,40.0,0,12,4.8,7.2,1.57,12,3,1.62,3.3,Fair,0,2025-12-27
R0265,2026-03-02,H001,CityCare General Hospital,D05,icu,Bed,General Bed,19,13,1,68.42,0,24,16.42,7.58,1.96,14,2,3.31,5.58,Good,0,2026-01-26
R0266,2026-03-07,H002,Green Valley Medical Center,D03,cardiology,Equipment,Patient Monitor,29,17,3,58.62,0,24,14.07,9.93,0.49,8,5,2.68,3.82,Good,0,2025-11-29
R0267,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Nursing Staff,28,24,2,85.71,0,12,10.29,1.71,0.99,4,3,0.97,13.53,Good,0,2026-01-18
R0268,2026-03-17,H001,CityCare General Hospital,D06,pediatrics,Bed,ICU Bed,28,20,4,71.43,0,24,17.14,6.86,1.78,9,5,1.12,15.35,Good,0,2026-02-02
R0269,2026-03-22,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Ventilator,14,11,0,78.57,0,24,18.86,5.14,1.39,13,2,4.8,20.4,Good,0,2025-12-19
R0270,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Doctors,21,15,0,71.43,0,12,8.57,3.43,1.44,14,1,3.77,6.95,Needs Maintenance,1,2025-12-12
R0271,2026-04-01,H001,CityCare General Hospital,D07,general surgery,Bed,Private Bed,41,27,2,65.85,0,24,15.8,8.2,4.48,10,5,2.89,8.28,Fair,0,2025-12-22
R0272,2026-04-06,H002,Green Valley Medical Center,D05,icu,Equipment,X-Ray Unit,13,10,0,76.92,0,24,18.46,5.54,1.54,11,5,1.54,18.94,Good,1,2026-02-27
R0273,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Nursing Staff,18,13,0,72.22,0,12,8.67,3.33,0.55,11,4,1.35,17.6,Good,0,2025-12-15
R0274,2026-04-16,H001,CityCare General Hospital,D01,emergency department,Bed,Semi-Private Bed,34,22,1,64.71,0,24,15.53,8.47,2.94,9,4,3.75,9.66,Fair,0,2025-12-28
R0275,2026-04-21,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Infusion Pump,15,12,2,80.0,0,24,19.2,4.8,3.47,4,1,4.93,10.95,Fair,0,2026-03-31
R0276,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Doctors,29,19,0,65.52,0,12,7.86,4.14,0.32,14,1,3.97,13.29,Fair,0,2026-03-20
R0277,2026-05-01,H001,CityCare General Hospital,D02,general medicine,Bed,General Bed,26,11,0,42.31,0,24,10.15,13.85,4.66,6,1,2.82,11.59,Good,0,2026-01-13
R0278,2026-05-06,H002,Green Valley Medical Center,D07,general surgery,Equipment,Patient Monitor,5,2,0,40.0,0,24,9.6,14.4,1.69,4,4,4.12,18.46,Good,0,2026-03-20
