resource_utilization_id,hospital_id,hospital_name,resource_type,date,department_id,department_name,ward_id,ward_name,shift,total_units_available,units_in_use,utilization_rate_pct,doctor_count,nurse_count,technician_count,pharmacist_count,admin_count,drug_id,drug_name,drug_category,reorder_level_threshold,shortage_flag,manufacturer_name,reliability_rating
794,1,HMIS Hospital,Bed,2022-03-04,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
795,1,HMIS Hospital,Bed,2022-03-05,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
796,1,HMIS Hospital,Bed,2022-03-06,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
797,1,HMIS Hospital,Bed,2022-03-07,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
798,1,HMIS Hospital,Bed,2022-03-08,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
799,1,HMIS Hospital,Bed,2022-03-09,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
800,1,HMIS Hospital,Bed,2022-03-10,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
801,1,HMIS Hospital,Bed,2022-03-11,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
802,1,HMIS Hospital,Bed,2022-03-12,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
803,1,HMIS Hospital,Bed,2022-03-13,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
804,1,HMIS Hospital,Bed,2022-03-14,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
805,1,HMIS Hospital,Bed,2022-03-15,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
806,1,HMIS Hospital,Bed,2022-03-16,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
807,1,HMIS Hospital,Bed,2022-03-17,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
808,1,HMIS Hospital,Bed,2022-03-18,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
809,1,HMIS Hospital,Bed,2022-03-19,1,Emergency,,,,75,10,13.33,,,,,,,,,,,,
810,1,HMIS Hospital,Bed,2022-03-20,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
811,1,HMIS Hospital,Bed,2022-03-21,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
812,1,HMIS Hospital,Bed,2022-03-22,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
813,1,HMIS Hospital,Bed,2022-03-23,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
814,1,HMIS Hospital,Bed,2022-03-24,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
815,1,HMIS Hospital,Bed,2022-03-25,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
816,1,HMIS Hospital,Bed,2022-03-26,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
817,1,HMIS Hospital,Bed,2022-03-27,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
818,1,HMIS Hospital,Bed,2022-03-28,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
819,1,HMIS Hospital,Bed,2022-03-29,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
820,1,HMIS Hospital,Bed,2022-03-30,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
821,1,HMIS Hospital,Bed,2022-03-31,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
822,1,HMIS Hospital,Bed,2022-04-01,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
823,1,HMIS Hospital,Bed,2022-04-02,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
824,1,HMIS Hospital,Bed,2022-04-03,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
825,1,HMIS Hospital,Bed,2022-04-04,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
826,1,HMIS Hospital,Bed,2022-04-05,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
827,1,HMIS Hospital,Bed,2022-04-06,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
828,1,HMIS Hospital,Bed,2022-04-07,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
829,1,HMIS Hospital,Bed,2022-04-08,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
830,1,HMIS Hospital,Bed,2022-04-09,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
831,1,HMIS Hospital,Bed,2022-04-10,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
832,1,HMIS Hospital,Bed,2022-04-11,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
833,1,HMIS Hospital,Bed,2022-04-12,1,Emergency,,,,75,10,13.33,,,,,,,,,,,,
834,1,HMIS Hospital,Bed,2022-04-13,1,Emergency,,,,75,10,13.33,,,,,,,,,,,,
835,1,HMIS Hospital,Bed,2022-04-14,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
836,1,HMIS Hospital,Bed,2022-04-15,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
837,1,HMIS Hospital,Bed,2022-04-16,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
838,1,HMIS Hospital,Bed,2022-04-17,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
839,1,HMIS Hospital,Bed,2022-04-18,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
840,1,HMIS Hospital,Bed,2022-04-19,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
841,1,HMIS Hospital,Bed,2022-04-20,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
842,1,HMIS Hospital,Bed,2022-04-21,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
843,1,HMIS Hospital,Bed,2022-04-22,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
844,1,HMIS Hospital,Bed,2022-04-23,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
845,1,HMIS Hospital,Bed,2022-04-24,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
846,1,HMIS Hospital,Bed,2022-04-25,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
847,1,HMIS Hospital,Bed,2022-04-26,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
848,1,HMIS Hospital,Bed,2022-04-27,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
849,1,HMIS Hospital,Bed,2022-04-28,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
850,1,HMIS Hospital,Bed,2022-04-29,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
851,1,HMIS Hospital,Bed,2022-04-30,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
852,1,HMIS Hospital,Bed,2022-05-01,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
853,1,HMIS Hospital,Bed,2022-05-02,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
854,1,HMIS Hospital,Bed,2022-05-03,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
855,1,HMIS Hospital,Bed,2022-05-04,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
856,1,HMIS Hospital,Bed,2022-05-05,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
857,1,HMIS Hospital,Bed,2022-05-06,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
858,1,HMIS Hospital,Bed,2022-05-07,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
859,1,HMIS Hospital,Bed,2022-05-08,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
860,1,HMIS Hospital,Bed,2022-05-09,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
861,1,HMIS Hospital,Bed,2022-05-10,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
862,1,HMIS Hospital,Bed,2022-05-11,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
863,1,HMIS Hospital,Bed,2022-05-12,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
864,1,HMIS Hospital,Bed,2022-05-13,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
865,1,HMIS Hospital,Bed,2022-05-14,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
866,1,HMIS Hospital,Bed,2022-05-15,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
867,1,HMIS Hospital,Bed,2022-05-16,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
868,1,HMIS Hospital,Bed,2022-05-17,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
869,1,HMIS Hospital,Bed,2022-05-18,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
870,1,HMIS Hospital,Bed,2022-05-19,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
871,1,HMIS Hospital,Bed,2022-05-20,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
872,1,HMIS Hospital,Bed,2022-05-21,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
873,1,HMIS Hospital,Bed,2022-05-22,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
874,1,HMIS Hospital,Bed,2022-05-23,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
875,1,HMIS Hospital,Bed,2022-05-24,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
876,1,HMIS Hospital,Bed,2022-05-25,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
877,1,HMIS Hospital,Bed,2022-05-26,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
878,1,HMIS Hospital,Bed,2022-05-27,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
879,1,HMIS Hospital,Bed,2022-05-28,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
880,1,HMIS Hospital,Bed,2022-05-29,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
881,1,HMIS Hospital,Bed,2022-05-30,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
882,1,HMIS Hospital,Bed,2022-05-31,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
883,1,HMIS Hospital,Bed,2022-06-01,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
884,1,HMIS Hospital,Bed,2022-06-02,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
885,1,HMIS Hospital,Bed,2022-06-03,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
886,1,HMIS Hospital,Bed,2022-06-04,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
887,1,HMIS Hospital,Bed,2022-06-05,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
888,1,HMIS Hospital,Bed,2022-06-06,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
889,1,HMIS Hospital,Bed,2022-06-07,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
890,1,HMIS Hospital,Bed,2022-06-08,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
891,1,HMIS Hospital,Bed,2022-06-09,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
892,1,HMIS Hospital,Bed,2022-06-10,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
893,1,HMIS Hospital,Bed,2022-06-11,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
894,1,HMIS Hospital,Bed,2022-06-12,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
895,1,HMIS Hospital,Bed,2022-06-13,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
896,1,HMIS Hospital,Bed,2022-06-14,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
897,1,HMIS Hospital,Bed,2022-06-15,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
898,1,HMIS Hospital,Bed,2022-06-16,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
899,1,HMIS Hospital,Bed,2022-06-17,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
900,1,HMIS Hospital,Bed,2022-06-18,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
901,1,HMIS Hospital,Bed,2022-06-19,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
902,1,HMIS Hospital,Bed,2022-06-20,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
903,1,HMIS Hospital,Bed,2022-06-21,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
904,1,HMIS Hospital,Bed,2022-06-22,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
905,1,HMIS Hospital,Bed,2022-06-23,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
906,1,HMIS Hospital,Bed,2022-06-24,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
907,1,HMIS Hospital,Bed,2022-06-25,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
908,1,HMIS Hospital,Bed,2022-06-26,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
909,1,HMIS Hospital,Bed,2022-06-27,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
910,1,HMIS Hospital,Bed,2022-06-28,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
911,1,HMIS Hospital,Bed,2022-06-29,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
912,1,HMIS Hospital,Bed,2022-06-30,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
913,1,HMIS Hospital,Bed,2022-07-01,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
914,1,HMIS Hospital,Bed,2022-07-02,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
915,1,HMIS Hospital,Bed,2022-07-03,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
916,1,HMIS Hospital,Bed,2022-07-04,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
917,1,HMIS Hospital,Bed,2022-07-05,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
918,1,HMIS Hospital,Bed,2022-07-06,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
919,1,HMIS Hospital,Bed,2022-07-07,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
920,1,HMIS Hospital,Bed,2022-07-08,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
921,1,HMIS Hospital,Bed,2022-07-09,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
922,1,HMIS Hospital,Bed,2022-07-10,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
923,1,HMIS Hospital,Bed,2022-07-11,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
924,1,HMIS Hospital,Bed,2022-07-12,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
925,1,HMIS Hospital,Bed,2022-07-13,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
926,1,HMIS Hospital,Bed,2022-07-14,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
927,1,HMIS Hospital,Bed,2022-07-15,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
928,1,HMIS Hospital,Bed,2022-07-16,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
929,1,HMIS Hospital,Bed,2022-07-17,1,Emergency,,,,75,11,14.67,,,,,,,,,,,,
930,1,HMIS Hospital,Bed,2022-07-18,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
931,1,HMIS Hospital,Bed,2022-07-19,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
932,1,HMIS Hospital,Bed,2022-07-20,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
933,1,HMIS Hospital,Bed,2022-07-21,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
934,1,HMIS Hospital,Bed,2022-07-22,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
935,1,HMIS Hospital,Bed,2022-07-23,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
936,1,HMIS Hospital,Bed,2022-07-24,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
937,1,HMIS Hospital,Bed,2022-07-25,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
938,1,HMIS Hospital,Bed,2022-07-26,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
939,1,HMIS Hospital,Bed,2022-07-27,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
940,1,HMIS Hospital,Bed,2022-07-28,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
941,1,HMIS Hospital,Bed,2022-07-29,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
942,1,HMIS Hospital,Bed,2022-07-30,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
943,1,HMIS Hospital,Bed,2022-07-31,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
944,1,HMIS Hospital,Bed,2022-08-01,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
945,1,HMIS Hospital,Bed,2022-08-02,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
946,1,HMIS Hospital,Bed,2022-08-03,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
947,1,HMIS Hospital,Bed,2022-08-04,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
948,1,HMIS Hospital,Bed,2022-08-05,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
949,1,HMIS Hospital,Bed,2022-08-06,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
950,1,HMIS Hospital,Bed,2022-08-07,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
951,1,HMIS Hospital,Bed,2022-08-08,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
952,1,HMIS Hospital,Bed,2022-08-09,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
953,1,HMIS Hospital,Bed,2022-08-10,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
954,1,HMIS Hospital,Bed,2022-08-11,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
955,1,HMIS Hospital,Bed,2022-08-12,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
956,1,HMIS Hospital,Bed,2022-08-13,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
957,1,HMIS Hospital,Bed,2022-08-14,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
958,1,HMIS Hospital,Bed,2022-08-15,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
959,1,HMIS Hospital,Bed,2022-08-16,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
960,1,HMIS Hospital,Bed,2022-08-17,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
961,1,HMIS Hospital,Bed,2022-08-18,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
962,1,HMIS Hospital,Bed,2022-08-19,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
963,1,HMIS Hospital,Bed,2022-08-20,1,Emergency,,,,75,11,14.67,,,,,,,,,,,,
964,1,HMIS Hospital,Bed,2022-08-21,1,Emergency,,,,75,11,14.67,,,,,,,,,,,,
965,1,HMIS Hospital,Bed,2022-08-22,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
966,1,HMIS Hospital,Bed,2022-08-23,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
967,1,HMIS Hospital,Bed,2022-08-24,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
968,1,HMIS Hospital,Bed,2022-08-25,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
969,1,HMIS Hospital,Bed,2022-08-26,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
970,1,HMIS Hospital,Bed,2022-08-27,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
971,1,HMIS Hospital,Bed,2022-08-28,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
972,1,HMIS Hospital,Bed,2022-08-29,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
973,1,HMIS Hospital,Bed,2022-08-30,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
974,1,HMIS Hospital,Bed,2022-08-31,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
975,1,HMIS Hospital,Bed,2022-09-01,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
976,1,HMIS Hospital,Bed,2022-09-02,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
977,1,HMIS Hospital,Bed,2022-09-03,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
978,1,HMIS Hospital,Bed,2022-09-04,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
979,1,HMIS Hospital,Bed,2022-09-05,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
980,1,HMIS Hospital,Bed,2022-09-06,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
981,1,HMIS Hospital,Bed,2022-09-07,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
982,1,HMIS Hospital,Bed,2022-09-08,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
983,1,HMIS Hospital,Bed,2022-09-09,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
984,1,HMIS Hospital,Bed,2022-09-10,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
985,1,HMIS Hospital,Bed,2022-09-11,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
986,1,HMIS Hospital,Bed,2022-09-12,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
987,1,HMIS Hospital,Bed,2022-09-13,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
988,1,HMIS Hospital,Bed,2022-09-14,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
989,1,HMIS Hospital,Bed,2022-09-15,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
990,1,HMIS Hospital,Bed,2022-09-16,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
991,1,HMIS Hospital,Bed,2022-09-17,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
992,1,HMIS Hospital,Bed,2022-09-18,1,Emergency,,,,75,27,36.0,,,,,,,,,,,,
993,1,HMIS Hospital,Bed,2022-09-19,1,Emergency,,,,75,28,37.33,,,,,,,,,,,,
994,1,HMIS Hospital,Bed,2022-09-20,1,Emergency,,,,75,29,38.67,,,,,,,,,,,,
995,1,HMIS Hospital,Bed,2022-09-21,1,Emergency,,,,75,27,36.0,,,,,,,,,,,,
996,1,HMIS Hospital,Bed,2022-09-22,1,Emergency,,,,75,27,36.0,,,,,,,,,,,,
997,1,HMIS Hospital,Bed,2022-09-23,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
998,1,HMIS Hospital,Bed,2022-09-24,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
999,1,HMIS Hospital,Bed,2022-09-25,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
1000,1,HMIS Hospital,Bed,2022-09-26,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
1001,1,HMIS Hospital,Bed,2022-09-27,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
1002,1,HMIS Hospital,Bed,2022-09-28,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
1003,1,HMIS Hospital,Bed,2022-09-29,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
1004,1,HMIS Hospital,Bed,2022-09-30,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
1005,1,HMIS Hospital,Bed,2022-10-01,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
1006,1,HMIS Hospital,Bed,2022-10-02,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
1007,1,HMIS Hospital,Bed,2022-10-03,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
1008,1,HMIS Hospital,Bed,2022-10-04,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
1009,1,HMIS Hospital,Bed,2022-10-05,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
1010,1,HMIS Hospital,Bed,2022-10-06,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
1011,1,HMIS Hospital,Bed,2022-10-07,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
1012,1,HMIS Hospital,Bed,2022-10-08,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
1013,1,HMIS Hospital,Bed,2022-10-09,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
1014,1,HMIS Hospital,Bed,2022-10-10,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
1015,1,HMIS Hospital,Bed,2022-10-11,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
1016,1,HMIS Hospital,Bed,2022-10-12,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
1017,1,HMIS Hospital,Bed,2022-10-13,1,Emergency,,,,75,28,37.33,,,,,,,,,,,,
1018,1,HMIS Hospital,Bed,2022-10-14,1,Emergency,,,,75,29,38.67,,,,,,,,,,,,
1019,1,HMIS Hospital,Bed,2022-10-15,1,Emergency,,,,75,28,37.33,,,,,,,,,,,,
1020,1,HMIS Hospital,Bed,2022-10-16,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
1021,1,HMIS Hospital,Bed,2022-10-17,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
1022,1,HMIS Hospital,Bed,2022-10-18,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
1023,1,HMIS Hospital,Bed,2022-10-19,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
1024,1,HMIS Hospital,Bed,2022-10-20,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
1025,1,HMIS Hospital,Bed,2022-10-21,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
1026,1,HMIS Hospital,Bed,2022-10-22,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
1027,1,HMIS Hospital,Bed,2022-10-23,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
1028,1,HMIS Hospital,Bed,2022-10-24,1,Emergency,,,,75,27,36.0,,,,,,,,,,,,
1029,1,HMIS Hospital,Bed,2022-10-25,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
1030,1,HMIS Hospital,Bed,2022-10-26,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
1031,1,HMIS Hospital,Bed,2022-10-27,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
1032,1,HMIS Hospital,Bed,2022-10-28,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
1033,1,HMIS Hospital,Bed,2022-10-29,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
1034,1,HMIS Hospital,Bed,2022-10-30,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
1035,1,HMIS Hospital,Bed,2022-10-31,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
1036,1,HMIS Hospital,Bed,2022-11-01,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
1037,1,HMIS Hospital,Bed,2022-11-02,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
1038,1,HMIS Hospital,Bed,2022-11-03,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
1039,1,HMIS Hospital,Bed,2022-11-04,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
1040,1,HMIS Hospital,Bed,2022-11-05,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
1041,1,HMIS Hospital,Bed,2022-11-06,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
1042,1,HMIS Hospital,Bed,2022-11-07,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
1043,1,HMIS Hospital,Bed,2022-11-08,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
1044,1,HMIS Hospital,Bed,2022-11-09,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
1045,1,HMIS Hospital,Bed,2022-11-10,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
1046,1,HMIS Hospital,Bed,2022-11-11,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
1047,1,HMIS Hospital,Bed,2022-11-12,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
1048,1,HMIS Hospital,Bed,2022-11-13,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
